"genus","species","stateProvince","decimalLatitude","decimalLongitude","eventDate"
"Corvus","Corvus brachyrhynchos","Massachusetts","41.575485","-70.9773",2021-01-16
"Corvus","Corvus brachyrhynchos","Massachusetts","41.516533","-71.110855",2020-12-28
"Corvus","Corvus brachyrhynchos","Massachusetts","41.633488","-70.86906",2020-12-06
"Corvus","Corvus brachyrhynchos","Massachusetts","41.910645","-70.72947",2019-06-09
"Corvus","Corvus corax","Massachusetts","41.63473","-70.89272",2022-09-01
"Corvus","Corvus brachyrhynchos","Massachusetts","41.910645","-70.72947",2020-05-26
"Corvus","Corvus brachyrhynchos","Massachusetts","41.945","-70.879",2014-02-14
"Corvus","Corvus brachyrhynchos","Massachusetts","41.856586","-70.774765",2017-04-23
"Corvus","Corvus brachyrhynchos","Massachusetts","41.96316","-70.893745",2017-02-02
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2022-12-05
"Corvus","Corvus brachyrhynchos","Massachusetts","41.594135","-70.8298",2018-07-28
"Corvus","Corvus brachyrhynchos","Massachusetts","41.749565","-70.77773",2021-09-20
"Corvus","Corvus ossifragus","Massachusetts","41.94836","-70.71642",2022-03-18
"Corvus","Corvus brachyrhynchos","Massachusetts","41.52712","-70.985756",2017-11-13
"Corvus","Corvus brachyrhynchos","Massachusetts","41.737503","-70.84186",2021-12-28
"Corvus","Corvus brachyrhynchos","Massachusetts","41.652325","-70.90905",2021-10-03
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2018-05-22
"Corvus","Corvus ossifragus","Massachusetts","41.71259","-70.76608",2020-04-24
"Corvus","Corvus brachyrhynchos","Massachusetts","41.633118","-70.88542",2018-09-30
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2019-04-11
"Corvus","Corvus corax","Massachusetts","41.7911","-71.0948",2021-12-21
"Corvus","Corvus brachyrhynchos","Massachusetts","41.532127","-71.005905",2022-11-15
"Corvus","Corvus brachyrhynchos","Massachusetts","41.737503","-70.84186",2014-11-15
"Corvus","Corvus brachyrhynchos","Massachusetts","41.635975","-70.83718",2020-05-02
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2021-04-16
"Corvus","Corvus brachyrhynchos","Massachusetts","41.68759","-70.908936",2016-03-27
"Corvus","Corvus brachyrhynchos","Massachusetts","41.61361","-71.05736",2018-11-17
"Corvus","Corvus brachyrhynchos","Massachusetts","41.695614","-70.72832",2020-06-28
"Corvus","Corvus brachyrhynchos","Massachusetts","41.516533","-71.110855",2018-03-09
"Corvus","Corvus brachyrhynchos","Massachusetts","41.50707","-71.02362",2021-08-15
"Corvus","Corvus brachyrhynchos","Massachusetts","41.642933","-70.84808",2015-03-29
"Corvus","Corvus brachyrhynchos","Massachusetts","41.652603","-70.91233",2021-02-20
"Corvus","Corvus brachyrhynchos","Massachusetts","41.87792","-70.75881",2014-11-30
"Corvus","Corvus ossifragus","Massachusetts","41.63473","-70.89272",2020-04-08
"Corvus","Corvus ossifragus","Massachusetts","41.929054","-70.817696",2019-01-06
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2020-10-16
"Corvus","Corvus corax","Massachusetts","41.707523","-71.036224",2022-04-16
"Corvus","Corvus brachyrhynchos","Massachusetts","41.506134","-71.05545",2022-03-27
"Corvus","Corvus brachyrhynchos","Massachusetts","41.737503","-70.84186",2017-10-28
"Corvus","Corvus brachyrhynchos","Massachusetts","41.929054","-70.817696",2020-11-30
"Corvus","Corvus brachyrhynchos","Massachusetts","41.652603","-70.91233",2022-10-12
"Corvus","Corvus brachyrhynchos","Massachusetts","41.689163","-70.73281",2020-07-11
"Corvus","Corvus corax","Massachusetts","41.63473","-70.89272",2021-09-19
"Corvus","Corvus brachyrhynchos","Massachusetts","41.630135","-70.81073",2019-05-08
"Corvus","Corvus ossifragus","Massachusetts","41.63473","-70.89272",2022-04-18
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2021-03-31
"Corvus","Corvus brachyrhynchos","Massachusetts","41.8671","-70.73196",2016-12-29
"Corvus","Corvus brachyrhynchos","Massachusetts","41.884106","-70.74369",2022-12-04
"Corvus","Corvus brachyrhynchos","Massachusetts","41.556053","-70.98903",2021-05-09
"Corvus","Corvus brachyrhynchos","Massachusetts","41.591698","-70.97949",2017-10-01
"Corvus","Corvus brachyrhynchos","Massachusetts","41.87448","-70.76793",2015-03-22
"Corvus","Corvus brachyrhynchos","Massachusetts","41.910645","-70.72947",2020-05-26
"Corvus","Corvus brachyrhynchos","Massachusetts","41.67747","-70.71711",2016-04-30
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2018-06-24
"Corvus","Corvus brachyrhynchos","Massachusetts","41.633118","-70.88542",2021-10-10
"Corvus","Corvus brachyrhynchos","Massachusetts","41.93275","-70.72424",2022-12-25
"Corvus","Corvus brachyrhynchos","Massachusetts","41.737503","-70.84186",2017-04-05
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2022-04-07
"Corvus","Corvus brachyrhynchos","Massachusetts","41.6606","-70.91226",2020-11-16
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2021-04-16
"Corvus","Corvus brachyrhynchos","Massachusetts","41.919044","-71.06382",2020-08-26
"Corvus","Corvus brachyrhynchos","Massachusetts","41.969074","-70.832245",2019-05-03
"Corvus","Corvus brachyrhynchos","Massachusetts","41.720417","-70.75801",2021-10-08
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2015-08-12
"Corvus","Corvus brachyrhynchos","Massachusetts","41.59119","-70.96029",2019-01-01
"Corvus","Corvus brachyrhynchos","Massachusetts","41.76516","-70.750305",2015-10-21
"Corvus","Corvus brachyrhynchos","Massachusetts","41.86481","-70.97039",2020-12-04
"Corvus","Corvus brachyrhynchos","Massachusetts","41.59098","-70.97773",2021-12-28
"Corvus","Corvus brachyrhynchos","Massachusetts","41.635975","-70.83718",2018-05-20
"Corvus","Corvus brachyrhynchos","Massachusetts","41.65781","-70.81936",2016-04-18
"Corvus","Corvus brachyrhynchos","Massachusetts","41.539196","-70.94471",2014-04-07
"Corvus","Corvus brachyrhynchos","Massachusetts","41.929054","-70.817696",2022-04-01
"Corvus","Corvus brachyrhynchos","Massachusetts","41.673977","-70.93145",2019-04-16
"Corvus","Corvus brachyrhynchos","Massachusetts","41.95087","-70.79913",2018-04-04
"Corvus","Corvus brachyrhynchos","Massachusetts","41.503788","-71.11343",2020-12-19
"Corvus","Corvus brachyrhynchos","Massachusetts","41.59119","-70.96029",2018-04-16
"Corvus","Corvus ossifragus","Massachusetts","41.71188","-71.12639",2021-03-11
"Corvus","Corvus brachyrhynchos","Massachusetts","41.714684","-70.74645",2020-04-12
"Corvus","Corvus brachyrhynchos","Massachusetts","41.737503","-70.84186",2020-03-18
"Corvus","Corvus brachyrhynchos","Massachusetts","41.8459","-70.94949",2018-12-25
"Corvus","Corvus brachyrhynchos","Massachusetts","41.950512","-70.71475",2017-10-14
"Corvus","Corvus brachyrhynchos","Massachusetts","41.884106","-70.74369",2021-12-26
"Corvus","Corvus brachyrhynchos","Massachusetts","41.65395","-70.98567",2022-06-10
"Corvus","Corvus ossifragus","Massachusetts","41.513252","-71.01395",2021-08-16
"Corvus","Corvus brachyrhynchos","Massachusetts","41.516315","-71.07125",2021-10-09
"Corvus","Corvus brachyrhynchos","Massachusetts","41.59119","-70.96029",2021-02-04
"Corvus","Corvus brachyrhynchos","Massachusetts","41.919044","-71.06382",2018-11-23
"Corvus","Corvus brachyrhynchos","Massachusetts","41.714684","-70.74645",2018-07-07
"Corvus","Corvus brachyrhynchos","Massachusetts","41.57156","-71.08918",2021-12-19
"Corvus","Corvus brachyrhynchos","Massachusetts","41.7848","-70.89633",2016-07-23
"Corvus","Corvus ossifragus","Massachusetts","41.56845","-70.98347",2020-03-07
"Corvus","Corvus corax","Massachusetts","41.63473","-70.89272",2020-09-13
"Corvus","Corvus brachyrhynchos","Massachusetts","41.513012","-71.01957",2016-03-31
"Corvus","Corvus corax","Massachusetts","41.737503","-70.84186",2017-10-27
"Corvus","Corvus brachyrhynchos","Massachusetts","41.952614","-70.948074",2020-11-14
"Corvus","Corvus brachyrhynchos","Massachusetts","41.58088","-70.96951",2022-04-30
"Corvus","Corvus brachyrhynchos","Massachusetts","41.539646","-70.96638",2016-08-08
"Corvus","Corvus corax","Massachusetts","41.929054","-70.817696",2022-08-15
"Corvus","Corvus brachyrhynchos","Massachusetts","41.72135","-71.12016",2018-01-03
"Corvus","Corvus corax","Massachusetts","41.73627","-71.09871",2022-07-12
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2022-10-10
"Corvus","Corvus ossifragus","Massachusetts","41.969433","-70.75688",2015-05-21
"Corvus","Corvus brachyrhynchos","Massachusetts","41.93427","-71.09814",2022-05-15
"Corvus","Corvus brachyrhynchos","Massachusetts","41.730587","-71.08875",2014-12-16
"Corvus","Corvus brachyrhynchos","Massachusetts","41.724045","-70.89233",2020-01-20
"Corvus","Corvus corax","Massachusetts","41.94632","-70.890656",2022-10-23
"Corvus","Corvus brachyrhynchos","Massachusetts","41.594135","-70.8298",2015-11-15
"Corvus","Corvus brachyrhynchos","Massachusetts","41.945","-70.879",2017-01-20
"Corvus","Corvus brachyrhynchos","Massachusetts","41.52712","-70.985756",2017-11-18
"Corvus","Corvus brachyrhynchos","Massachusetts","41.673977","-70.93145",2019-06-25
"Corvus","Corvus ossifragus","Massachusetts","41.52205","-71.00971",2015-04-26
"Corvus","Corvus brachyrhynchos","Massachusetts","41.51298","-71.022575",2015-11-07
"Corvus","Corvus brachyrhynchos","Massachusetts","41.590515","-70.978035",2019-10-12
"Corvus","Corvus brachyrhynchos","Massachusetts","41.772606","-71.12056",2021-12-20
"Corvus","Corvus brachyrhynchos","Massachusetts","41.945","-70.879",2018-11-28
"Corvus","Corvus brachyrhynchos","Massachusetts","41.693356","-70.78565",2015-04-14
"Corvus","Corvus ossifragus","Massachusetts","41.693874","-70.7565",2020-04-20
"Corvus","Corvus brachyrhynchos","Massachusetts","41.516533","-71.110855",2018-12-17
"Corvus","Corvus brachyrhynchos","Massachusetts","41.51298","-71.022575",2021-05-16
"Corvus","Corvus ossifragus","Massachusetts","41.789234","-71.12523",2019-01-27
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2018-05-29
"Corvus","Corvus brachyrhynchos","Massachusetts","41.50707","-71.02362",2019-05-15
"Corvus","Corvus brachyrhynchos","Massachusetts","41.877865","-70.937706",2018-07-21
"Corvus","Corvus brachyrhynchos","Massachusetts","41.929054","-70.817696",2021-02-16
"Corvus","Corvus brachyrhynchos","Massachusetts","41.6841","-70.919945",2021-12-17
"Corvus","Corvus brachyrhynchos","Massachusetts","41.96316","-70.893745",2017-06-25
"Corvus","Corvus ossifragus","Massachusetts","41.969433","-70.75688",2022-05-08
"Corvus","Corvus brachyrhynchos","Massachusetts","41.945","-70.879",2016-09-25
"Corvus","Corvus brachyrhynchos","Massachusetts","41.714684","-70.74645",2019-05-05
"Corvus","Corvus brachyrhynchos","Massachusetts","41.638103","-70.87116",2014-05-16
"Corvus","Corvus brachyrhynchos","Massachusetts","41.945","-70.879",2018-12-24
"Corvus","Corvus brachyrhynchos","Massachusetts","41.793987","-71.030655",2020-01-01
"Corvus","Corvus brachyrhynchos","Massachusetts","41.597645","-70.86227",2020-03-28
"Corvus","Corvus corax","Massachusetts","41.778584","-70.73657",2021-07-22
"Corvus","Corvus brachyrhynchos","Massachusetts","41.552914","-71.004295",2016-04-08
"Corvus","Corvus ossifragus","Massachusetts","41.623783","-70.86684",2016-09-22
"Corvus","Corvus brachyrhynchos","Massachusetts","41.64436","-70.98538",2022-12-31
"Corvus","Corvus brachyrhynchos","Massachusetts","41.6841","-70.919945",2019-03-17
"Corvus","Corvus brachyrhynchos","Massachusetts","41.720417","-70.75801",2020-10-31
"Corvus","Corvus ossifragus","Massachusetts","41.789234","-71.12523",2022-09-17
"Corvus","Corvus brachyrhynchos","Massachusetts","41.693356","-70.78565",2022-04-24
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2020-10-04
"Corvus","Corvus brachyrhynchos","Massachusetts","41.667942","-70.76393",2017-03-20
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2021-05-12
"Corvus","Corvus brachyrhynchos","Massachusetts","41.84063","-71.08487",2018-06-03
"Corvus","Corvus ossifragus","Massachusetts","41.642933","-70.84808",2022-03-20
"Corvus","Corvus brachyrhynchos","Massachusetts","41.96316","-70.893745",2018-02-09
"Corvus","Corvus brachyrhynchos","Massachusetts","41.50707","-71.02362",2021-02-04
"Corvus","Corvus brachyrhynchos","Massachusetts","41.594135","-70.8298",2020-04-14
"Corvus","Corvus brachyrhynchos","Massachusetts","41.892372","-70.719795",2016-10-31
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2017-08-24
"Corvus","Corvus brachyrhynchos","Massachusetts","41.59098","-70.97773",2021-09-30
"Corvus","Corvus brachyrhynchos","Massachusetts","41.72135","-71.12016",2018-04-03
"Corvus","Corvus corax","Massachusetts","41.6277","-71.0627",2021-01-01
"Corvus","Corvus brachyrhynchos","Massachusetts","41.673977","-70.93145",2019-06-03
"Corvus","Corvus brachyrhynchos","Massachusetts","41.68655","-71.09761",2022-11-25
"Corvus","Corvus brachyrhynchos","Massachusetts","41.945","-70.879",2017-01-31
"Corvus","Corvus brachyrhynchos","Massachusetts","41.52205","-71.00971",2020-03-06
"Corvus","Corvus brachyrhynchos","Massachusetts","41.597645","-70.86227",2022-09-03
"Corvus","Corvus brachyrhynchos","Massachusetts","41.693874","-70.7565",2020-09-19
"Corvus","Corvus ossifragus","Massachusetts","41.594486","-70.967",2021-04-26
"Corvus","Corvus ossifragus","Massachusetts","41.71483","-71.11333",2020-05-19
"Corvus","Corvus brachyrhynchos","Massachusetts","41.58602","-70.85614",2022-01-23
"Corvus","Corvus brachyrhynchos","Massachusetts","41.642933","-70.84808",2020-04-05
"Corvus","Corvus brachyrhynchos","Massachusetts","41.945","-70.879",2018-07-28
"Corvus","Corvus brachyrhynchos","Massachusetts","41.735638","-71.09164",2022-05-23
"Corvus","Corvus brachyrhynchos","Massachusetts","41.910645","-70.72947",2018-06-11
"Corvus","Corvus brachyrhynchos","Massachusetts","41.910645","-70.72947",2020-05-27
"Corvus","Corvus brachyrhynchos","Massachusetts","41.4998","-71.03929",2022-11-06
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2015-06-21
"Corvus","Corvus brachyrhynchos","Massachusetts","41.945","-70.879",2021-10-11
"Corvus","Corvus brachyrhynchos","Massachusetts","41.816586","-70.89499",2017-02-26
"Corvus","Corvus brachyrhynchos","Massachusetts","41.52712","-70.985756",2018-02-03
"Corvus","Corvus brachyrhynchos","Massachusetts","41.722927","-70.73079",2020-03-15
"Corvus","Corvus brachyrhynchos","Massachusetts","41.772606","-71.12056",2021-12-21
"Corvus","Corvus corax","Massachusetts","41.929054","-70.817696",2022-10-13
"Corvus","Corvus brachyrhynchos","Massachusetts","41.806477","-70.895294",2021-12-12
"Corvus","Corvus brachyrhynchos","Massachusetts","41.661648","-70.77249",2018-09-09
"Corvus","Corvus brachyrhynchos","Massachusetts","41.95087","-70.79913",2021-01-01
"Corvus","Corvus corax","Massachusetts","41.974674","-70.78392",2020-03-10
"Corvus","Corvus corax","Massachusetts","41.839916","-71.01143",2020-12-23
"Corvus","Corvus brachyrhynchos","Massachusetts","41.56592","-71.115395",2022-05-29
"Corvus","Corvus brachyrhynchos","Massachusetts","41.633488","-70.86906",2014-12-20
"Corvus","Corvus brachyrhynchos","Massachusetts","41.539196","-70.94471",2021-09-16
"Corvus","Corvus brachyrhynchos","Massachusetts","41.735325","-71.09266",2021-05-08
"Corvus","Corvus brachyrhynchos","Massachusetts","41.59119","-70.96029",2016-10-31
"Corvus","Corvus brachyrhynchos","Massachusetts","41.575478","-70.97729",2021-03-24
"Corvus","Corvus brachyrhynchos","Massachusetts","41.769653","-71.125145",2021-12-20
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2016-03-27
"Corvus","Corvus brachyrhynchos","Massachusetts","41.625263","-70.89469",2021-10-12
"Corvus","Corvus corax","Massachusetts","41.929054","-70.817696",2021-05-03
"Corvus","Corvus brachyrhynchos","Massachusetts","41.76786","-70.73999",2020-05-16
"Corvus","Corvus corax","Massachusetts","41.778423","-71.04353",2022-12-04
"Corvus","Corvus brachyrhynchos","Massachusetts","41.52205","-71.00971",2015-11-09
"Corvus","Corvus brachyrhynchos","Massachusetts","41.696365","-71.04896",2022-11-11
"Corvus","Corvus brachyrhynchos","Massachusetts","41.575478","-70.97729",2020-11-13
"Corvus","Corvus ossifragus","Massachusetts","41.636745","-71.00347",2021-05-20
"Corvus","Corvus brachyrhynchos","Massachusetts","41.642933","-70.84808",2020-04-20
"Corvus","Corvus brachyrhynchos","Massachusetts","41.654522","-70.97464",2015-01-01
"Corvus","Corvus brachyrhynchos","Massachusetts","41.625076","-70.90296",2019-12-08
"Corvus","Corvus brachyrhynchos","Massachusetts","41.789234","-71.12523",2017-11-24
"Corvus","Corvus ossifragus","Massachusetts","41.697495","-70.76096",2022-08-23
"Corvus","Corvus corax","Massachusetts","41.59098","-70.97773",2021-11-03
"Corvus","Corvus brachyrhynchos","Massachusetts","41.793987","-71.030655",2021-05-25
"Corvus","Corvus brachyrhynchos","Massachusetts","41.910645","-70.72947",2021-06-23
"Corvus","Corvus brachyrhynchos","Massachusetts","41.625076","-70.90296",2021-03-27
"Corvus","Corvus brachyrhynchos","Massachusetts","41.945","-70.879",2021-04-23
"Corvus","Corvus brachyrhynchos","Massachusetts","41.945","-70.879",2021-03-10
"Corvus","Corvus brachyrhynchos","Massachusetts","41.56592","-71.115395",2017-05-13
"Corvus","Corvus corax","Massachusetts","41.811756","-71.10631",2021-12-20
"Corvus","Corvus brachyrhynchos","Massachusetts","41.59098","-70.97773",2020-11-23
"Corvus","Corvus ossifragus","Massachusetts","41.929054","-70.817696",2015-06-16
"Corvus","Corvus brachyrhynchos","Massachusetts","41.736156","-71.10112",2019-04-16
"Corvus","Corvus brachyrhynchos","Massachusetts","41.576252","-71.04842",2021-11-01
"Corvus","Corvus brachyrhynchos","Massachusetts","41.865612","-70.774796",2018-03-12
"Corvus","Corvus brachyrhynchos","Massachusetts","41.81531","-70.719185",2016-03-22
"Corvus","Corvus brachyrhynchos","Massachusetts","41.830276","-71.11486",2022-05-04
"Corvus","Corvus brachyrhynchos","Massachusetts","41.726334","-70.735664",2021-12-18
"Corvus","Corvus brachyrhynchos","Massachusetts","41.769653","-71.125145",2021-12-21
"Corvus","Corvus brachyrhynchos","Massachusetts","41.831566","-71.11829",2014-03-23
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2022-05-02
"Corvus","Corvus brachyrhynchos","Massachusetts","41.652603","-70.91233",2020-12-19
"Corvus","Corvus ossifragus","Massachusetts","41.50707","-71.02362",2021-05-28
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63473","-70.89272",2014-09-27
"Corvus","Corvus brachyrhynchos","Massachusetts","41.59119","-70.96029",2022-07-15
"Corvus","Corvus brachyrhynchos","Massachusetts","41.945","-70.879",2016-11-13
"Corvus","Corvus corax","Massachusetts","41.51852","-71.00557",2019-11-30
"Corvus","Corvus brachyrhynchos","Massachusetts","41.633118","-70.88542",2017-10-01
"Corvus","Corvus brachyrhynchos","Massachusetts","41.789234","-71.12523",2019-09-28
"Corvus","Corvus brachyrhynchos","Massachusetts","41.57222","-71.033875",2022-12-17
"Corvus","Corvus brachyrhynchos","Massachusetts","41.72135","-71.12016",2018-11-05
"Corvus","Corvus corax","Massachusetts","41.711655","-70.778076",2019-06-09
"Corvus","Corvus brachyrhynchos","Massachusetts","41.673977","-70.93145",2019-02-19
"Corvus","Corvus brachyrhynchos","Massachusetts","41.633118","-70.88542",2016-10-10
"Corvus","Corvus brachyrhynchos","Massachusetts","41.872803","-71.12591",2017-11-12
"Corvus","Corvus brachyrhynchos","Massachusetts","41.75528","-70.79046",2017-12-22
"Corvus","Corvus brachyrhynchos","Massachusetts","41.96316","-70.893745",2014-09-27
"Corvus","Corvus brachyrhynchos","Massachusetts","41.75027","-70.862206",2018-04-06
"Corvus","Corvus brachyrhynchos","Massachusetts","41.742683","-70.75402",2018-08-25
"Corvus","Corvus brachyrhynchos","Massachusetts","41.515625","-71.10028",2018-12-15
"Corvus","Corvus brachyrhynchos","Massachusetts","41.775135","-70.71245",2022-11-09
"Corvus","Corvus brachyrhynchos","Massachusetts","41.630135","-70.81073",2017-06-17
"Corvus","Corvus brachyrhynchos","Massachusetts","41.642933","-70.84808",2020-05-31
"Corvus","Corvus corax","Massachusetts","41.769653","-71.125145",2021-12-20
"Corvus","Corvus brachyrhynchos","Massachusetts","41.59689","-70.85543",2019-01-27
"Corvus","Corvus brachyrhynchos","Massachusetts","41.575478","-70.97729",2020-09-02
"Corvus","Corvus brachyrhynchos","Massachusetts","41.529266","-70.9525",2017-06-05
"Corvus","Corvus brachyrhynchos","Massachusetts","41.597645","-70.86227",2020-12-28
"Corvus","Corvus brachyrhynchos","Massachusetts","41.681995","-71.09853",2015-06-19
"Corvus","Corvus corax","Massachusetts","41.83333","-71.09997",2018-11-21
"Corvus","Corvus ossifragus","Massachusetts","41.929054","-70.817696",2020-07-18
"Corvus","Corvus brachyrhynchos","Massachusetts","41.929054","-70.817696",2021-04-20
"Corvus","Corvus brachyrhynchos","Massachusetts","41.580193","-71.0875",2021-03-06
"Corvus","Corvus corax","Massachusetts","41.835133","-70.91006",2020-11-13
"Corvus","Corvus brachyrhynchos","Massachusetts","41.8155","-71.11506",2021-12-20
"Corvus","Corvus ossifragus","Massachusetts","41.945","-70.879",2018-04-08
"Corvus","Corvus brachyrhynchos","Massachusetts","41.513012","-71.01957",2014-05-14
"Corvus","Corvus brachyrhynchos","Massachusetts","41.594486","-70.967",2022-06-25
"Corvus","Corvus brachyrhynchos","Massachusetts","41.905643","-70.96677",2016-10-19
"Corvus","Corvus ossifragus","Massachusetts","41.68009","-70.91668",2022-04-21
"Corvus","Corvus brachyrhynchos","Massachusetts","41.74269","-70.75403",2017-11-04
"Corvus","Corvus brachyrhynchos","Massachusetts","41.642933","-70.84808",2020-10-18
"Corvus","Corvus brachyrhynchos","Massachusetts","41.886227","-70.72677",2019-03-29
"Corvus","Corvus brachyrhynchos","Massachusetts","41.530396","-71.12002",2019-05-31
"Corvus","Corvus brachyrhynchos","Massachusetts","41.56941","-71.006355",2021-01-10
"Corvus","Corvus brachyrhynchos","Massachusetts","41.64112","-70.84729",2021-05-04
"Corvus","Corvus brachyrhynchos","Massachusetts","41.689163","-70.73281",2020-02-24
"Corvus","Corvus brachyrhynchos","Massachusetts","41.633118","-70.88542",2019-11-10
"Corvus","Corvus corax","Massachusetts","41.801243","-71.07644",2017-01-17
"Corvus","Corvus brachyrhynchos","Massachusetts","41.633118","-70.88542",2017-03-22
"Corvus","Corvus brachyrhynchos","Massachusetts","41.63359","-70.95598",2021-09-27
"Corvus","Corvus brachyrhynchos","Massachusetts","41.575485","-70.9773",2022-02-07
"Corvus","Corvus brachyrhynchos","Massachusetts","41.71643","-71.04149",2022-10-12
"Corvus","Corvus ossifragus","Massachusetts","41.94187","-71.108665",2021-01-12
"Corvus","Corvus brachyrhynchos","Massachusetts","41.59119","-70.96029",2017-09-30
"Corvus","Corvus brachyrhynchos","Massachusetts","41.513252","-71.01395",2021-03-10
"Corvus","Corvus ossifragus","Massachusetts","41.69928","-70.76929",2021-03-23
"Corvus","Corvus brachyrhynchos","Massachusetts","41.910645","-70.72947",2019-03-03
"Corvus","Corvus brachyrhynchos","Massachusetts","41.707523","-71.036224",2019-11-21
"Corvus","Corvus brachyrhynchos","Massachusetts","41.50707","-71.02362",2016-08-23
"Corvus","Corvus ossifragus","Massachusetts","41.85064","-70.74972",2016-05-29
"Corvus","Corvus ossifragus","Massachusetts","41.87448","-70.76793",2016-04-02
"Corvus","Corvus corax","Massachusetts","41.725975","-70.76869",2021-10-10
"Corvus","Corvus corax","Massachusetts","41.919044","-71.06382",2020-08-06
