STATION,NAME,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT08,WT08_ATTRIBUTES
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-17,7.83,",,W",0,",,W",23,",,W",11,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-18,2.68,",,W",0.15,",,W",47,",,W",9,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-19,9.17,",,W",0.1,",,W",47,",,W",33,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-20,13.65,",,W",0,",,W",34,",,W",17,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-21,7.61,",,W",0,",,W",27,",,W",14,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-22,3.13,",,W",0.01,",,W",28,",,W",23,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-23,4.7,",,W",0.01,",,W",35,",,W",22,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-24,,,0,",,W",42,",,W",27,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-25,7.16,",,W",0,",,W",31,",,W",12,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-26,10.96,",,W",0,",,W",16,",,W",3,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-27,1.79,",,W",0,",,W",27,",,W",5,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-28,1.79,",,W",0.02,",,W",41,",,W",23,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-29,8.72,",,W",0,",,W",29,",,W",18,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-30,4.92,",,W",0,",,W",33,",,W",15,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-31,4.7,",,W",0,"T,,W",35,",,W",15,",,W",1,",,W",1,",,W",,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-01,3.58,",,W",0,",,W",39,",,W",19,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-02,2.24,",,W",0.18,",,W",39,",,W",27,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-03,9.62,",,W",0.05,",,W",35,",,W",22,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-04,9.17,",,W",0,",,W",26,",,W",16,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-05,13.42,",,W",0,",,W",20,",,W",10,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-06,10.07,",,W",0,",,W",27,",,W",12,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-07,6.71,",,W",0,",,W",25,",,W",5,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-08,10.29,",,W",0,",,W",29,",,W",14,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-09,10.96,",,W",0,",,W",30,",,W",18,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-10,4.92,",,W",0,",,W",34,",,W",13,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-11,4.7,",,W",0,"T,,W",33,",,W",11,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-12,8.5,",,W",0,",,W",39,",,W",24,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-13,6.26,",,W",0,",,W",28,",,W",12,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-15,16.33,",,W",1.74,",,W",25,",,W",14,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-16,14.54,",,W",0,",,W",30,",,W",14,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-17,9.62,",,W",0,",,W",36,",,W",22,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-18,7.83,",,W",0,",,W",37,",,W",21,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-19,12.3,",,W",0,",,W",25,",,W",11,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-20,4.92,",,W",0,",,W",51,",,W",18,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-21,3.8,",,W",0.05,",,W",49,",,W",24,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-22,2.68,",,W",0.02,",,W",42,",,W",20,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-23,10.96,",,W",0.01,",,W",36,",,W",19,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-24,10.07,",,W",0,",,W",37,",,W",15,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-25,3.13,",,W",0,",,W",46,",,W",21,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-26,3.13,",,W",0.22,",,W",38,",,W",30,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-27,1.57,",,W",0,"T,,W",40,",,W",31,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-28,2.91,",,W",0,"T,,W",47,",,W",26,",,W",1,",,W",1,",,W",,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-01,2.01,",,W",0,",,W",44,",,W",19,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-02,8.5,",,W",2.22,",,W",54,",,W",30,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-03,5.14,",,W",0,",,W",58,",,W",25,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-04,9.62,",,W",0,",,W",43,",,W",30,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-05,12.75,",,W",0,"T,,W",40,",,W",23,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-06,14.99,",,W",0,"T,,W",23,",,W",8,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-07,6.04,",,W",0,",,W",25,",,W",7,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-08,9.62,",,W",0,"T,,W",29,",,W",10,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-09,4.25,",,W",0,",,W",33,",,W",5,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-10,7.61,",,W",0,",,W",51,",,W",17,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-11,7.38,",,W",0.21,",,W",55,",,W",27,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-12,4.7,",,W",0,",,W",56,",,W",24,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-13,7.61,",,W",0,",,W",58,",,W",32,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-14,10.29,",,W",0,"T,,W",64,",,W",44,",,W",,,,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-15,7.38,",,W",0.16,",,W",62,",,W",36,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-16,11.63,",,W",1.06,",,W",36,",,W",30,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-17,7.61,",,W",2.56,",,W",39,",,W",30,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-18,12.75,",,W",0,"T,,W",35,",,W",24,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-19,9.84,",,W",0.29,",,W",40,",,W",26,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-20,13.42,",,W",0.03,",,W",46,",,W",28,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-21,6.04,",,W",0,",,W",42,",,W",20,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-22,12.53,",,W",0.05,",,W",52,",,W",37,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-23,6.71,",,W",0,",,W",62,",,W",31,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-24,3.8,",,W",0.34,",,W",55,",,W",27,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-25,4.25,",,W",0.03,",,W",50,",,W",32,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-26,7.16,",,W",0.4,",,W",47,",,W",29,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-27,3.13,",,W",0.09,",,W",68,",,W",43,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-28,10.74,",,W",0,",,W",59,",,W",39,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-29,12.08,",,W",0,",,W",54,",,W",33,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-30,7.61,",,W",0,",,W",65,",,W",27,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-31,4.7,",,W",0,",,W",55,",,W",32,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-01,4.03,",,W",0.18,",,W",59,",,W",26,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-02,5.82,",,W",0.1,",,W",44,",,W",39,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-03,6.49,",,W",0.01,",,W",47,",,W",36,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-04,6.49,",,W",1.05,",,W",41,",,W",36,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-05,10.07,",,W",0.13,",,W",46,",,W",31,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-06,8.95,",,W",0,",,W",43,",,W",28,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-07,3.8,",,W",0,",,W",43,",,W",24,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-08,10.96,",,W",0,",,W",44,",,W",28,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-09,9.62,",,W",0,",,W",53,",,W",32,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-10,4.92,",,W",0,",,W",46,",,W",28,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-11,3.58,",,W",0,",,W",54,",,W",27,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-12,7.61,",,W",1.32,",,W",43,",,W",34,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-13,8.5,",,W",0,"T,,W",50,",,W",34,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-14,7.83,",,W",0,",,W",56,",,W",34,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-15,12.75,",,W",1.97,",,W",50,",,W",34,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-16,17.67,",,W",1.06,",,W",54,",,W",41,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-17,15.88,",,W",0.38,",,W",43,",,W",38,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-18,12.08,",,W",0.21,",,W",43,",,W",40,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-19,8.95,",,W",0.01,",,W",53,",,W",37,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-20,6.26,",,W",0,",,W",61,",,W",29,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-21,3.36,",,W",0,",,W",79,",,W",30,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-22,3.58,",,W",0,",,W",76,",,W",37,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-23,9.62,",,W",0,",,W",82,",,W",44,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-24,6.71,",,W",0,",,W",78,",,W",43,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-25,2.01,",,W",0.24,",,W",64,",,W",37,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-26,4.03,",,W",0,",,W",64,",,W",39,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-27,4.47,",,W",1.01,",,W",56,",,W",45,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-28,3.36,",,W",0.01,",,W",72,",,W",45,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-29,3.58,",,W",0.01,",,W",60,",,W",47,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-04-30,8.72,",,W",0.04,",,W",74,",,W",42,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-01,6.71,",,W",0,"T,,W",71,",,W",44,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-02,4.47,",,W",0.21,",,W",66,",,W",49,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-03,6.49,",,W",0,",,W",70,",,W",36,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-04,6.04,",,W",0,",,W",69,",,W",36,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-05,5.59,",,W",0,"T,,W",69,",,W",33,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-06,8.28,",,W",0,"T,,W",54,",,W",33,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-07,2.46,",,W",0,",,W",67,",,W",30,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-08,8.95,",,W",0,",,W",75,",,W",44,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-09,8.95,",,W",0,",,W",83,",,W",55,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-10,8.72,",,W",0,",,W",82,",,W",62,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-11,5.37,",,W",0.04,",,W",75,",,W",61,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-12,6.93,",,W",0.01,",,W",64,",,W",50,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-13,6.04,",,W",0,"T,,W",69,",,W",47,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-14,6.26,",,W",0,",,W",75,",,W",34,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-15,8.95,",,W",0,"T,,W",72,",,W",53,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-16,7.61,",,W",0.2,",,W",81,",,W",49,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-17,6.26,",,W",0.05,",,W",59,",,W",45,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-18,10.29,",,W",1.75,",,W",46,",,W",43,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-19,4.7,",,W",0.2,",,W",55,",,W",44,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-20,4.47,",,W",0.2,",,W",66,",,W",51,",,W",1,",,W",,,1,",,W",,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-21,6.26,",,W",0,"T,,W",67,",,W",43,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-22,2.91,",,W",0,",,W",74,",,W",38,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-23,6.71,",,W",0,",,W",73,",,W",42,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-24,4.47,",,W",0,",,W",87,",,W",53,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-25,3.58,",,W",0,",,W",95,",,W",57,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-26,5.82,",,W",0,",,W",88,",,W",54,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-27,3.58,",,W",0,",,W",80,",,W",54,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-28,6.26,",,W",0,",,W",84,",,W",59,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-29,5.14,",,W",0,",,W",80,",,W",48,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-30,4.03,",,W",0,",,W",84,",,W",48,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-05-31,2.91,",,W",0.04,",,W",74,",,W",56,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-01,5.59,",,W",0,",,W",86,",,W",55,",,W",1,",,W",,,1,",,W",1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-02,5.82,",,W",0,",,W",90,",,W",61,",,W",1,",,W",1,",,W",,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-03,5.14,",,W",0.79,",,W",67,",,W",56,",,W",1,",,W",,,1,",,W",1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-04,8.28,",,W",1.17,",,W",67,",,W",56,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-05,,,0,",,W",80,",,W",61,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-06,5.82,",,W",0,"T,,W",73,",,W",47,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-07,4.7,",,W",0,",,W",73,",,W",43,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-08,4.47,",,W",0,",,W",79,",,W",55,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-09,2.24,",,W",0,"T,,W",68,",,W",55,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-10,4.92,",,W",0,",,W",75,",,W",50,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-11,5.59,",,W",0.06,",,W",81,",,W",60,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-12,6.49,",,W",0.03,",,W",69,",,W",60,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-13,8.72,",,W",0,"T,,W",61,",,W",53,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-14,7.83,",,W",0.02,",,W",63,",,W",53,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-15,4.7,",,W",0,",,W",74,",,W",50,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-16,4.03,",,W",0,",,W",81,",,W",48,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-17,4.7,",,W",0.19,",,W",89,",,W",60,",,W",1,",,W",,,1,",,W",1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-18,3.13,",,W",0.01,",,W",83,",,W",57,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-19,,,0,",,W",84,",,W",67,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-20,5.37,",,W",0.09,",,W",77,",,W",64,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-21,5.82,",,W",0,"T,,W",82,",,W",58,",,W",,,,,1,",,W",,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-22,6.93,",,W",0.24,",,W",76,",,W",56,",,W",,,,,1,",,W",,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-23,6.26,",,W",0,",,W",74,",,W",51,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-24,4.47,",,W",0,",,W",81,",,W",46,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-25,7.38,",,W",0,",,W",88,",,W",62,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-06-26,6.71,",,W",0,",,W",94,",,W",67,",,W",1,",,W",,,,,1,",,W"
