STATION,NAME,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT08,WT08_ATTRIBUTES
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2/20/07,4.92,",,W",0,",,W",51,",,W",18,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2/21/07,3.8,",,W",0.05,",,W",49,",,W",24,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2/22/07,2.68,",,W",0.02,",,W",42,",,W",20,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2/23/07,10.96,",,W",0.01,",,W",36,",,W",19,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2/24/07,10.07,",,W",0,",,W",37,",,W",15,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2/25/07,3.13,",,W",0,",,W",46,",,W",21,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2/26/07,3.13,",,W",0.22,",,W",38,",,W",30,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/1/07,2.01,",,W",0,",,W",44,",,W",19,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/2/07,8.5,",,W",2.22,",,W",54,",,W",30,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/3/07,5.14,",,W",0,",,W",58,",,W",25,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/4/07,9.62,",,W",0,",,W",43,",,W",30,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/7/07,6.04,",,W",0,",,W",25,",,W",7,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/9/07,4.25,",,W",0,",,W",33,",,W",5,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/10/07,7.61,",,W",0,",,W",51,",,W",17,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/11/07,7.38,",,W",0.21,",,W",55,",,W",27,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/12/07,4.7,",,W",0,",,W",56,",,W",24,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/13/07,7.61,",,W",0,",,W",58,",,W",32,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/15/07,7.38,",,W",0.16,",,W",62,",,W",36,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/16/07,11.63,",,W",1.06,",,W",36,",,W",30,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/17/07,7.61,",,W",2.56,",,W",39,",,W",30,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/19/07,9.84,",,W",0.29,",,W",40,",,W",26,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/20/07,13.42,",,W",0.03,",,W",46,",,W",28,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/21/07,6.04,",,W",0,",,W",42,",,W",20,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/22/07,12.53,",,W",0.05,",,W",52,",,W",37,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/23/07,6.71,",,W",0,",,W",62,",,W",31,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/24/07,3.8,",,W",0.34,",,W",55,",,W",27,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/25/07,4.25,",,W",0.03,",,W",50,",,W",32,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/26/07,7.16,",,W",0.4,",,W",47,",,W",29,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/27/07,3.13,",,W",0.09,",,W",68,",,W",43,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/28/07,10.74,",,W",0,",,W",59,",,W",39,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/29/07,12.08,",,W",0,",,W",54,",,W",33,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/30/07,7.61,",,W",0,",,W",65,",,W",27,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",3/31/07,4.7,",,W",0,",,W",55,",,W",32,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/1/07,4.03,",,W",0.18,",,W",59,",,W",26,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/2/07,5.82,",,W",0.1,",,W",44,",,W",39,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/3/07,6.49,",,W",0.01,",,W",47,",,W",36,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/4/07,6.49,",,W",1.05,",,W",41,",,W",36,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/5/07,10.07,",,W",0.13,",,W",46,",,W",31,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/6/07,8.95,",,W",0,",,W",43,",,W",28,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/7/07,3.8,",,W",0,",,W",43,",,W",24,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/8/07,10.96,",,W",0,",,W",44,",,W",28,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/9/07,9.62,",,W",0,",,W",53,",,W",32,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/10/07,4.92,",,W",0,",,W",46,",,W",28,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/11/07,3.58,",,W",0,",,W",54,",,W",27,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/12/07,7.61,",,W",1.32,",,W",43,",,W",34,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/14/07,7.83,",,W",0,",,W",56,",,W",34,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/15/07,12.75,",,W",1.97,",,W",50,",,W",34,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/16/07,17.67,",,W",1.06,",,W",54,",,W",41,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/17/07,15.88,",,W",0.38,",,W",43,",,W",38,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/18/07,12.08,",,W",0.21,",,W",43,",,W",40,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/19/07,8.95,",,W",0.01,",,W",53,",,W",37,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/20/07,6.26,",,W",0,",,W",61,",,W",29,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/21/07,3.36,",,W",0,",,W",79,",,W",30,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/22/07,3.58,",,W",0,",,W",76,",,W",37,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/23/07,9.62,",,W",0,",,W",82,",,W",44,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/24/07,6.71,",,W",0,",,W",78,",,W",43,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/25/07,2.01,",,W",0.24,",,W",64,",,W",37,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/26/07,4.03,",,W",0,",,W",64,",,W",39,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/27/07,4.47,",,W",1.01,",,W",56,",,W",45,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/28/07,3.36,",,W",0.01,",,W",72,",,W",45,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/29/07,3.58,",,W",0.01,",,W",60,",,W",47,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",4/30/07,8.72,",,W",0.04,",,W",74,",,W",42,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/2/07,4.47,",,W",0.21,",,W",66,",,W",49,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/3/07,6.49,",,W",0,",,W",70,",,W",36,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/4/07,6.04,",,W",0,",,W",69,",,W",36,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/7/07,2.46,",,W",0,",,W",67,",,W",30,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/8/07,8.95,",,W",0,",,W",75,",,W",44,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/9/07,8.95,",,W",0,",,W",83,",,W",55,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/10/07,8.72,",,W",0,",,W",82,",,W",62,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/11/07,5.37,",,W",0.04,",,W",75,",,W",61,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/12/07,6.93,",,W",0.01,",,W",64,",,W",50,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/14/07,6.26,",,W",0,",,W",75,",,W",34,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/16/07,7.61,",,W",0.2,",,W",81,",,W",49,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/17/07,6.26,",,W",0.05,",,W",59,",,W",45,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/18/07,10.29,",,W",1.75,",,W",46,",,W",43,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/19/07,4.7,",,W",0.2,",,W",55,",,W",44,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/20/07,4.47,",,W",0.2,",,W",66,",,W",51,",,W",1,",,W",,,1,",,W",,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/22/07,2.91,",,W",0,",,W",74,",,W",38,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/23/07,6.71,",,W",0,",,W",73,",,W",42,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/24/07,4.47,",,W",0,",,W",87,",,W",53,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/25/07,3.58,",,W",0,",,W",95,",,W",57,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/26/07,5.82,",,W",0,",,W",88,",,W",54,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/27/07,3.58,",,W",0,",,W",80,",,W",54,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/28/07,6.26,",,W",0,",,W",84,",,W",59,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/29/07,5.14,",,W",0,",,W",80,",,W",48,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/30/07,4.03,",,W",0,",,W",84,",,W",48,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",5/31/07,2.91,",,W",0.04,",,W",74,",,W",56,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/1/07,5.59,",,W",0,",,W",86,",,W",55,",,W",1,",,W",,,1,",,W",1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/2/07,5.82,",,W",0,",,W",90,",,W",61,",,W",1,",,W",1,",,W",,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/3/07,5.14,",,W",0.79,",,W",67,",,W",56,",,W",1,",,W",,,1,",,W",1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/4/07,8.28,",,W",1.17,",,W",67,",,W",56,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/5/07,,,0,",,W",80,",,W",61,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/7/07,4.7,",,W",0,",,W",73,",,W",43,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/8/07,4.47,",,W",0,",,W",79,",,W",55,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/10/07,4.92,",,W",0,",,W",75,",,W",50,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/11/07,5.59,",,W",0.06,",,W",81,",,W",60,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/12/07,6.49,",,W",0.03,",,W",69,",,W",60,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/14/07,7.83,",,W",0.02,",,W",63,",,W",53,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/15/07,4.7,",,W",0,",,W",74,",,W",50,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/16/07,4.03,",,W",0,",,W",81,",,W",48,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/17/07,4.7,",,W",0.19,",,W",89,",,W",60,",,W",1,",,W",,,1,",,W",1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/18/07,3.13,",,W",0.01,",,W",83,",,W",57,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/19/07,,,0,",,W",84,",,W",67,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/20/07,5.37,",,W",0.09,",,W",77,",,W",64,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/22/07,6.93,",,W",0.24,",,W",76,",,W",56,",,W",,,,,1,",,W",,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/23/07,6.26,",,W",0,",,W",74,",,W",51,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/24/07,4.47,",,W",0,",,W",81,",,W",46,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/25/07,7.38,",,W",0,",,W",88,",,W",62,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/26/07,6.71,",,W",0,",,W",94,",,W",67,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/27/07,8.5,",,W",0,",,W",96,",,W",73,",,W",,,,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/28/07,5.37,",,W",0.25,",,W",90,",,W",72,",,W",1,",,W",,,1,",,W",1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/29/07,4.47,",,W",0,",,W",74,",,W",57,",,W",,,,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",6/30/07,4.03,",,W",0.02,",,W",83,",,W",59,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/3/07,4.25,",,W",0,",,W",80,",,W",48,",,W",1,",,W",1,",,W",,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/4/07,6.71,",,W",0.17,",,W",81,",,W",52,",,W",1,",,W",1,",,W",,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/5/07,8.72,",,W",0.82,",,W",82,",,W",65,",,W",1,",,W",,,1,",,W",1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/7/07,4.92,",,W",0,",,W",86,",,W",59,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/8/07,6.93,",,W",0.42,",,W",94,",,W",67,",,W",1,",,W",,,1,",,W",1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/9/07,4.92,",,W",0.01,",,W",88,",,W",67,",,W",1,",,W",,,1,",,W",1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/10/07,4.47,",,W",0,",,W",95,",,W",66,",,W",1,",,W",1,",,W",,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/13/07,6.26,",,W",0,",,W",87,",,W",56,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/14/07,4.47,",,W",0,",,W",87,",,W",60,",,W",1,",,W",1,",,W",,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/15/07,8.95,",,W",0.16,",,W",88,",,W",68,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/17/07,2.46,",,W",0,",,W",89,",,W",58,",,W",1,",,W",1,",,W",,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/18/07,2.68,",,W",0.75,",,W",75,",,W",66,",,W",1,",,W",,,1,",,W",1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/19/07,4.03,",,W",0.34,",,W",86,",,W",69,",,W",1,",,W",1,",,W",,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/20/07,7.16,",,W",0,",,W",86,",,W",66,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/21/07,3.58,",,W",0,",,W",81,",,W",61,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/22/07,4.25,",,W",0,",,W",81,",,W",60,",,W",1,",,W",,,,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",7/23/07,4.92,",,W",0.04,",,W",72,",,W",62,",,W",1,",,W",,,,,1,",,W"
